Line Number,Time,Position,Velocity
1,0,0,10
2,0.0025,0.024969375,9.9755
3,0.0038,0.037929244,9.96276
4,0.005,0.0498775,9.951
5,0.0114,0.11336319600000003,9.88828
6,0.0177,0.175464879,9.826540000000001
7,0.024,0.2371776,9.764800000000001
8,0.0303,0.29850135899999997,9.70306
9,0.0618,0.599285724,9.39436
10,0.0934,0.8912545560000001,9.08468
11,0.1249,1.1725599510000002,8.77598
12,0.1565,1.4449879750000003,8.4663
13,0.2815,2.426712975,7.241300000000001
14,0.4065,3.255312975,6.016300000000001
15,0.5315,3.9307879749999994,4.791300000000001
16,0.6565,4.453137975,3.5663
17,0.7815,4.822362975,2.3413000000000004
18,0.9065,5.038462975000001,1.1162999999999998
19,1.0315,5.101437975000002,-0.10870000000000246
20,1.1565,5.011287975000005,-1.333700000000002
21,1.2815,4.768012975000007,-2.5587000000000035
22,1.4065,4.371612975000009,-3.783700000000005
23,1.5315,3.8220879750000156,-5.008700000000003
24,1.6565,3.1194379750000185,-6.233700000000006
25,1.7526,2.475126876000022,-7.175480000000006
26,1.8486,1.741122396000024,-8.116280000000003
27,1.9447,0.9158953590000091,-9.058059999999998
28,2.0408,0.0001632640000104324,-9.999839999999997
28,2.040816326530613,0.0,9.0
29,2.043316326530613,0.022469374999999524,8.9755
30,2.044616326530613,0.03412924400000023,8.96276
31,2.045816326530613,0.04487749999999906,8.951
32,2.0522163265306133,0.10196319600000071,8.88828
33,2.0585163265306132,0.1577648790000004,8.82654
34,2.064816326530613,0.2131776000000002,8.7648
35,2.071116326530613,0.268201359,8.70306
36,2.102616326530613,0.5374857239999987,8.394360000000002
37,2.134216326530613,0.7978545559999995,8.08468
38,2.165716326530613,1.0476599509999986,7.775980000000002
39,2.197316326530613,1.2884879749999996,7.4663
40,2.322316326530613,2.145212974999999,6.241300000000002
41,2.447316326530613,2.8488129749999986,5.016300000000001
42,2.572316326530613,3.399287974999999,3.7913000000000014
43,2.697316326530613,3.7966379749999986,2.566300000000002
44,2.822316326530613,4.040862974999999,1.3413000000000004
45,2.947316326530613,4.131962975,0.11630000000000162
46,3.072316326530613,4.069937975000002,-1.1086999999999998
47,3.197316326530613,3.8547879750000034,-2.333700000000003
48,3.322316326530613,3.486512975000007,-3.558700000000001
49,3.447316326530613,2.96511297500001,-4.783700000000002
50,3.572316326530613,2.2905879750000144,-6.008700000000002
51,3.697316326530613,1.4629379750000184,-7.233700000000003
52,3.793416326530613,0.7225268760000237,-8.175480000000004
52,3.8775510204081667,-0.0,8.1
53,3.8800510204081666,0.02021937499999957,8.0755
54,3.8813510204081667,0.03070924400000021,8.062759999999999
55,3.8825510204081666,0.04037749999999915,8.051
56,3.8889510204081668,0.09170319600000067,7.988279999999999
57,3.8952510204081667,0.14183487900000036,7.926539999999999
58,3.9015510204081667,0.19157760000000015,7.8648
59,3.9078510204081667,0.24093135899999993,7.80306
60,3.9393510204081665,0.48186572399999883,7.494360000000001
61,3.9709510204081666,0.7137945559999996,7.18468
62,4.0024510204081665,0.9352499509999985,6.875980000000002
63,4.0340510204081665,1.1476379749999996,6.5663
64,4.1590510204081665,1.8918629749999991,5.341300000000001
65,4.2840510204081665,2.482962974999999,4.116300000000001
66,4.4090510204081665,2.9209379749999984,2.891300000000001
67,4.5340510204081665,3.2057879749999985,1.6663000000000014
68,4.6590510204081665,3.3375129749999983,0.4413
69,4.7840510204081665,3.3161129749999994,-0.7836999999999987
70,4.9090510204081665,3.141587975000001,-2.0087
71,5.0340510204081665,2.8139379750000035,-3.2337000000000033
72,5.1590510204081665,2.3331629750000067,-4.458700000000001
73,5.2840510204081665,1.699262975000011,-5.683700000000003
74,5.4090510204081665,0.9122379750000149,-6.908700000000002
74,5.530612244897965,0.0,7.29
75,5.533112244897965,0.018194375000002837,7.265499999999996
76,5.534412244897965,0.027631244000000187,7.252759999999999
77,5.5356122448979646,0.03632749999999923,7.241000000000001
78,5.542012244897965,0.0824691960000006,7.178279999999999
79,5.548312244897964,0.12749787899999718,7.116540000000004
80,5.554612244897965,0.17213760000000014,7.0548
81,5.560912244897965,0.21638835900000306,6.993059999999996
82,5.5924122448979645,0.43180772399999906,6.684360000000002
83,5.624012244897965,0.6381405559999995,6.374680000000001
84,5.655512244897965,0.8340809510000017,6.065979999999998
85,5.687112244897965,1.020872975000002,5.756299999999997
86,5.812112244897965,1.6638479750000013,4.531299999999997
87,5.937112244897965,2.1536979750000005,3.3062999999999976
88,6.062112244897965,2.4904229749999995,2.0812999999999975
89,6.187112244897965,2.674022974999999,0.8562999999999965
90,6.312112244897965,2.704497974999999,-0.36870000000000314
91,6.437112244897965,2.581847974999999,-1.5937000000000028
92,6.562112244897965,2.3060729749999997,-2.818700000000005
93,6.687112244897965,1.877172975000001,-4.0437000000000065
94,6.812112244897965,1.2951479750000041,-5.268700000000006
95,6.937112244897965,0.5599979750000077,-6.493700000000008
95,7.018367346938782,0.0,6.561
96,7.020867346938783,0.016371875000002555,6.536499999999996
97,7.022167346938782,0.024861044000000165,6.523759999999999
98,7.023367346938782,0.03268249999999931,6.512000000000001
99,7.029767346938782,0.07415859600000052,6.449279999999999
100,7.036067346938782,0.11459457899999748,6.387540000000004
101,7.042367346938782,0.15464160000000013,6.3258
102,7.048667346938783,0.19429965900000273,6.264059999999996
103,7.080167346938782,0.3867555239999992,5.9553600000000015
104,7.111767346938782,0.5700519559999997,5.6456800000000005
105,7.143267346938782,0.7430288510000015,5.336979999999997
106,7.1748673469387825,0.9067844750000019,5.027299999999997
107,7.2998673469387825,1.458634475000001,3.802299999999997
108,7.4248673469387825,1.857359475,2.577299999999997
109,7.5498673469387825,2.1029594749999987,1.352299999999997
110,7.6748673469387825,2.195434474999998,0.12729999999999642
111,7.7998673469387825,2.134784474999998,-1.0977000000000032
112,7.9248673469387825,1.9210094749999973,-2.3227000000000038
113,8.049867346938782,1.5541094749999969,-3.547700000000005
114,8.174867346938782,1.0340844749999982,-4.772700000000007
115,8.299867346938782,0.3609344749999991,-5.997700000000006
115,8.357346938775517,-0.0,5.9049000000000005
116,8.359846938775517,0.014731624999997079,5.880400000000005
117,8.361146938775518,0.022367864000000157,5.86766
118,8.362346938775518,0.02940200000000458,5.855899999999993
119,8.368746938775518,0.06667905600000049,5.7931799999999996
120,8.375046938775517,0.10298160899999774,5.7314400000000045
121,8.381346938775517,0.13889519999999508,5.6697000000000095
122,8.387646938775518,0.17441982900000247,5.607959999999997
123,8.419146938775517,0.3462085439999993,5.299260000000002
124,8.450746938775518,0.5087722160000042,4.989579999999993
125,8.482246938775518,0.6610819610000014,4.680879999999998
126,8.513846938775517,0.804104824999998,4.371200000000006
127,8.638846938775517,1.2739423249999984,3.146200000000006
128,8.763846938775517,1.5906548249999988,1.921200000000006
129,8.888846938775517,1.754242324999999,0.6962000000000059
130,9.013846938775517,1.764704824999999,-0.5287999999999933
131,9.138846938775517,1.6220423249999993,-1.7537999999999938
132,9.263846938775517,1.3262548250000004,-2.9787999999999943
133,9.388846938775517,0.877342325000001,-4.203799999999996
134,9.513846938775517,0.27530482500000264,-5.428799999999997
134,9.562428571428578,0.0,5.314500000000001
135,9.564928571428577,0.01325562499999737,5.290000000000005
136,9.566228571428578,0.02012434400000014,5.27726
137,9.567428571428579,0.02645000000000412,5.265499999999993
138,9.573828571428578,0.059948496000000406,5.20278
139,9.580128571428578,0.09253152899999799,5.141040000000005
140,9.586428571428577,0.1247255999999956,5.07930000000001
141,9.592728571428578,0.1565307090000022,5.017559999999997
142,9.624228571428578,0.3097218239999994,4.708860000000002
143,9.655828571428579,0.45362885600000374,4.399179999999993
144,9.687328571428578,0.5873410010000012,4.090479999999998
145,9.718928571428577,0.7117072249999983,3.7808000000000064
146,9.843928571428577,1.1077447249999985,2.5558000000000063
147,9.968928571428577,1.350657224999999,1.3308000000000062
148,10.093928571428577,1.4404447249999994,0.10580000000000611
149,10.218928571428577,1.3771072249999996,-1.119199999999993
150,10.343928571428577,1.1606447250000007,-2.3441999999999936
151,10.468928571428577,0.7910572250000018,-3.569199999999994
152,10.593928571428577,0.2683447250000036,-4.794199999999996
152,10.647020408163272,0.0,4.7826
